location,new_cases,reproduction_rate,gdp_per_capita,stringency_index,total_cases,population
China,84918.71489726027,1.0477509293680298,15308.711999999998,71.47002790697674,8328192.207191781,1425887360.0
Croatia,1088.9253859348198,1.0473110893032385,22669.797,34.2264,587208.8826164874,4030361.0
Russia,19225.113869863013,1.0461998041136142,24765.954,42.02199069767442,9541628.661700264,144713312.0
Chile,4459.890410958904,1.0455522971652003,22767.037,52.39076279069767,2143365.459532374,19603736.0
Philippines,3491.5556506849316,1.04533203125,7599.188,59.62429767441861,2021038.2445223487,115559008.0
Malaysia,4326.922813036021,1.0442079689018464,26808.164,50.09556279069768,2098105.032286213,33938216.0
Poland,5532.850171232877,1.043388671875,27216.445,40.56962790697674,3329555.247292419,39857144.0
Czechia,3958.285102739726,1.0416,32605.906,40.25862325581395,2238159.191891892,10493990.0
Norway,1265.8220701454234,1.0388565891472867,64800.057,36.326102325581395,586528.2060660125,5434324.0
Indonesia,5775.5227077977725,1.0380547409579668,11188.744,55.41401860465116,3369028.0063063065,275501344.0
Lebanon,1054.9461077844312,1.0380254154447703,13367.565,52.87627906976744,627837.0625,5489744.0
Greece,5055.691189050471,1.0374634146341464,24574.382,54.10451162790697,1830107.2405745063,10384972.0
Bulgaria,1111.3125,1.037023575638507,18563.307,36.8741023255814,626277.919384058,6781955.0
Serbia,2143.9323630136987,1.0367811579980373,14048.881,38.05588837209302,1125413.377034358,6871547.0
Uzbekistan,215.08126603934988,1.0362475247524752,6253.104,39.58139534883721,147692.23996350364,34627648.0
India,38362.841201716736,1.035478515625,6426.674,58.995581395348836,25743655.983362522,1417173120.0
Lithuania,1122.268209083119,1.0343336623889436,29524.264999999996,36.723051162790696,554771.4573225516,2750058.0
Ethiopia,427.86056458511547,1.0316986855409505,1729.927,45.917172093023254,295319.456284153,123379928.0
Portugal,4782.733905579399,1.031258536585366,27936.896,44.55382325581395,2192944.0954954955,10270857.0
Morocco,1088.5594525235244,1.0310826771653543,7485.013000000001,54.84648372093023,730245.2855855856,37457976.0
Cote d'Ivoire,75.51497005988024,1.0310781404549951,3601.0059999999994,25.362353488372094,53154.99727767695,28160548.0
Albania,285.39093242087256,1.0285714285714285,11803.431,42.59831627906977,169539.69537624661,2842318.0
Laos,186.50384944396922,1.0274313408723748,6397.36,47.183497674418604,86063.7497700092,7529477.0
Kosovo,233.87681779298546,1.026782522343595,9795.834,49.34569302325582,140499.864422202,1782115.0
Mexico,6419.976863753213,1.0249901960784313,17336.469,45.11731162790698,3628329.649687221,127504120.0
South Africa,3492.037768240343,1.0224019607843136,12294.876,44.712,2384745.8318264014,59893884.0
Iran,6486.238869863014,1.0218731988472622,19082.62,60.49586976744186,4151417.6666666665,88550568.0
Qatar,424.4006849315069,1.0215481986368062,116935.6,53.51575813953489,256621.2167266187,2695131.0
Bahrain,595.9059024807527,1.0214396887159534,43290.705,39.3582511627907,323254.0376007162,1472237.0
United Arab Emirates,902.4041095890411,1.0204705882352942,67293.483,45.10057674418605,577320.4024496938,9441138.0
Finland,1253.1207191780823,1.0193865628042844,40585.721,36.18257674418604,466930.56678082194,5540745.0
Togo,33.710008554319934,1.0193353783231083,1429.813,44.383386046511625,20777.593128390596,8848700.0
Guyana,62.5235243798118,1.01770423991727,7435.047,53.20850232558139,34377.77434030937,808727.0
Kenya,293.3644140290847,1.0176318407960199,2993.028,52.551386046511624,203434.73132969034,54027484.0
Bangladesh,1743.3250641573995,1.0153846153846153,3523.984,50.94444651162791,1198943.4030797102,171186368.0
Uruguay,885.5582191780821,1.0149901768172889,20551.409,38.20309767441861,459953.6809480401,3422796.0
Saudi Arabia,711.242294520548,1.014609375,49045.411,46.46155348837209,523681.14594594593,36408824.0
Nepal,857.1703767123288,1.0120721649484536,2442.804,50.460688372093024,574888.276762402,30547586.0
Cyprus,560.950988822012,1.0098816568047337,32415.131999999998,46.5234511627907,233959.25862068965,896007.0
Nigeria,228.09324208725405,1.0092765113974231,5338.454,41.577841860465114,170793.71133093524,218541216.0
Algeria,232.26860564585115,1.0034513274336283,13913.839,52.924297674418604,165353.66816143497,44903228.0
Ecuador,918.3347639484979,0.998343137254902,10581.936,50.2725023255814,532398.6486486486,18001002.0
Panama,886.0403433476395,0.9973405299313052,22267.037,50.945702325581394,512255.66485013627,4408582.0
Malta,100.89888603256213,0.9960295566502463,36513.323,40.68048372093023,51364.87793851718,533293.0
Nicaragua,13.406330196749359,0.9952510460251046,5321.444,11.555302325581396,9360.346153846154,6948395.0
Mali,28.286569717707444,0.9930150753768844,2014.306,38.275637209302324,17919.65561694291,22593598.0
Thailand,4104.4609375,0.9881524926686217,16277.671,44.39186046511628,1836638.8602243313,71697024.0
Sri Lanka,576.3765008576329,0.9871104536489151,11669.077,52.06381395348837,348546.5414847162,21832150.0
